            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s                VLM1 -   16.0°-60.00m/s    
    -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0      -7.276552                 0  
    -7.226846         0.0855314      -7.226846         0.1322177      -7.226846          0.179052      -7.226846         0.2259774      -7.226846         0.2729367      -7.226846         0.3198726      -7.226846         0.3667279      -7.226846         0.4134457      -7.226846         0.4599689      -7.226846         0.5062409      -7.226846         0.5522052      -7.226846          0.597806      -7.226846         0.6429876      -7.226846          0.687695      -7.226846         0.7318738      -7.226846           0.77547      -7.226846         0.8184307      -7.226846         0.8607034      -7.226846         0.9022366      -7.226846         0.9429797      -7.226846         0.9828832      -7.226846          1.021898      -7.226846          1.059978      -7.226846          1.097075      -7.226846          1.133144      -7.226846          1.168143      -7.226846          1.202027  
    -7.127773         0.1692011      -7.127773         0.7277442      -7.127773          1.288652      -7.127773          1.851241      -7.127773          2.414825      -7.127773          2.978719      -7.127773          3.542235      -7.127773          4.104686      -7.127773          4.665388      -7.127773          5.223656      -7.127773          5.778812      -7.127773          6.330178      -7.127773          6.877083      -7.127773          7.418861      -7.127773          7.954851      -7.127773            8.4844      -7.127773          9.006864      -7.127773          9.521606      -7.127773            10.028      -7.127773          10.52542      -7.127773          11.01328      -7.127773          11.49096      -7.127773           11.9579      -7.127773          12.41352      -7.127773          12.85727      -7.127773           13.2886      -7.127773            13.707  
     -6.98001         -1.114779       -6.98001          1.632252       -6.98001          4.392511       -6.98001          7.162635       -6.98001          9.939249       -6.98001          12.71897       -6.98001          15.49841       -6.98001          18.27419       -6.98001          21.04292       -6.98001          23.80123       -6.98001          26.54576       -6.98001          29.27316       -6.98001          31.98012       -6.98001          34.66333       -6.98001          37.31952       -6.98001          39.94547       -6.98001          42.53796       -6.98001          45.09385       -6.98001          47.61001       -6.98001          50.08338       -6.98001          52.51095       -6.98001          54.88976       -6.98001          57.21692       -6.98001          59.48958       -6.98001          61.70498       -6.98001          63.86041       -6.98001          65.95327  
    -6.784567         -7.418401      -6.784567          1.520724      -6.784567          10.50612      -6.784567          19.52685      -6.784567          28.57191      -6.784567          37.63028      -6.784567          46.69094      -6.784567          55.74283      -6.784567          64.77494      -6.784567          73.77625      -6.784567          82.73581      -6.784567          91.64269      -6.784567           100.486      -6.784567          109.2551      -6.784567          117.9392      -6.784567          126.5277      -6.784567          135.0102      -6.784567          143.3763      -6.784567          151.6158      -6.784567          159.7188      -6.784567          167.6753      -6.784567          175.4756      -6.784567          183.1103      -6.784567            190.57      -6.784567          197.8457      -6.784567          204.9284      -6.784567          211.8096  
    -6.542778         -25.37298      -6.542778         -2.600134      -6.542778           20.2961      -6.542778          43.28783      -6.542778          66.34704      -6.542778          89.44563      -6.542778          112.5555      -6.542778          135.6484      -6.542778          158.6963      -6.542778           181.671      -6.542778          204.5447      -6.542778          227.2893      -6.542778          249.8773      -6.542778           272.281      -6.542778          294.4732      -6.542778          316.4269      -6.542778          338.1153      -6.542778          359.5119      -6.542778          380.5908      -6.542778          401.3261      -6.542778          421.6928      -6.542778          441.6659      -6.542778          461.2211      -6.542778          480.3346      -6.542778          498.9832      -6.542778           517.144      -6.542778          534.7949  
    -6.256295         -64.86213      -6.256295         -15.58444      -6.256295          33.96861      -6.256295          83.73666      -6.256295          133.6591      -6.256295           183.675      -6.256295          233.7236      -6.256295          283.7438      -6.256295          333.6746      -6.256295          383.4553      -6.256295          433.0253      -6.256295           482.324      -6.256295          531.2914      -6.256295           579.868      -6.256295          627.9945      -6.256295          675.6122      -6.256295          722.6632      -6.256295          769.0901      -6.256295          814.8363      -6.256295          859.8462      -6.256295          904.0649      -6.256295          947.4385      -6.256295          989.9142      -6.256295           1031.44      -6.256295          1071.966      -6.256295          1111.442      -6.256295           1149.82  
    -5.927076         -138.9428      -5.927076           -44.079      -5.927076          51.32662      -5.927076          147.1578      -5.927076          243.2978      -5.927076          339.6295      -5.927076          436.0356      -5.927076          532.3984      -5.927076          628.6008      -5.927076          724.5254      -5.927076          820.0554      -5.927076          915.0744      -5.927076          1009.467      -5.927076          1103.117      -5.927076          1195.912      -5.927076          1287.737      -5.927076          1378.482      -5.927076          1468.036      -5.927076          1556.289      -5.927076          1643.134      -5.927076          1728.465      -5.927076          1812.179      -5.927076          1894.172      -5.927076          1974.346      -5.927076          2052.603      -5.927076          2128.847      -5.927076          2202.986  
    -5.557368         -263.5408      -5.557368         -96.30159      -5.557368          71.90811      -5.557368          240.8834      -5.557368          410.4183      -5.557368          580.3064      -5.557368          750.3407      -5.557368          920.3139      -5.557368          1090.019      -5.557368          1259.249      -5.557368          1427.799      -5.557368          1595.462      -5.557368          1762.034      -5.557368          1927.313      -5.557368          2091.096      -5.557368          2253.185      -5.557368          2413.383      -5.557368          2571.493      -5.557368          2727.323      -5.557368          2880.684      -5.557368          3031.388      -5.557368          3179.252      -5.557368          3324.096      -5.557368          3465.743      -5.557368           3604.02      -5.557368           3738.76      -5.557368          3869.798  
    -5.149698         -456.9961      -5.149698         -181.7337      -5.149698          95.14501      -5.149698          373.3028      -5.149698          652.4008      -5.149698          932.0989      -5.149698          1212.056      -5.149698          1491.932      -5.149698          1771.385      -5.149698          2050.075      -5.149698          2327.662      -5.149698          2603.808      -5.149698          2878.177      -5.149698          3150.434      -5.149698          3420.248      -5.149698           3687.29      -5.149698          3951.234      -5.149698           4211.76      -5.149698          4468.549      -5.149698          4721.288      -5.149698          4969.671      -5.149698          5213.394      -5.149698           5452.16      -5.149698          5685.678      -5.149698          5913.664      -5.149698          6135.841      -5.149698          6351.936  
